origin_id,destination_id,origin,destination,origin_station,destination_station
0,1,SSAN,SBRN,South San Francisco,San Bruno
0,0,SSAN,SSAN,South San Francisco,South San Francisco
0,2,SSAN,SFIA,South San Francisco,San Francisco International Airport
0,3,SSAN,MLBR,South San Francisco,Millbrae
0,4,SSAN,WDUB,South San Francisco,West Dublin/Pleasanton
0,5,SSAN,RICH,South San Francisco,Richmond
0,6,SSAN,DELN,South San Francisco,Del Norte
0,7,SSAN,PLZA,South San Francisco,El Cerrito Plaza
0,8,SSAN,NBRK,South San Francisco,North Berkeley
0,9,SSAN,DBRK,South San Francisco,Downtown Berkeley
0,10,SSAN,ASHB,South San Francisco,Ashby
0,11,SSAN,MCAR,South San Francisco,MacArthur
0,12,SSAN,19TH,South San Francisco,19th Street Oakland
0,13,SSAN,12TH,South San Francisco,12th Street Oakland
0,14,SSAN,LAKE,South San Francisco,Lake Merritt
0,15,SSAN,FTVL,South San Francisco,Fruitvale
0,16,SSAN,COLS,South San Francisco,Coliseum
0,17,SSAN,SANL,South San Francisco,San Leandro
0,18,SSAN,BAYF,South San Francisco,Bay Fair
0,19,SSAN,HAYW,South San Francisco,Hayward
0,20,SSAN,SHAY,South San Francisco,South Hayward
0,21,SSAN,UCTY,South San Francisco,Union City
0,22,SSAN,FRMT,South San Francisco,Fremont
0,23,SSAN,CAST,South San Francisco,Castro Valley
0,24,SSAN,DUBL,South San Francisco,Dublin/Pleasanton
0,25,SSAN,PITT,South San Francisco,Pittsburg/Bay Point
0,26,SSAN,NCON,South San Francisco,North Concord/Martinez
0,27,SSAN,COLM,South San Francisco,Colma
0,28,SSAN,CONC,South San Francisco,Concord
0,29,SSAN,PHIL,South San Francisco,Pleasant Hill
0,30,SSAN,WCRK,South San Francisco,Walnut Creek
0,31,SSAN,LAFY,South San Francisco,Lafayette
0,32,SSAN,ORIN,South San Francisco,Orinda
0,33,SSAN,ROCK,South San Francisco,Rockridge
0,34,SSAN,WOAK,South San Francisco,West Oakland
0,35,SSAN,EMBR,South San Francisco,Embarcadero
0,36,SSAN,MONT,South San Francisco,Montgomery Street
0,37,SSAN,POWL,South San Francisco,Powell Street
0,38,SSAN,CIVC,South San Francisco,Civic Center
0,39,SSAN,16TH,South San Francisco,16th Street Mission
0,40,SSAN,24TH,South San Francisco,24th Street Mission
0,41,SSAN,GLEN,South San Francisco,Glen Park
0,42,SSAN,BALB,South San Francisco,Balboa Park
0,43,SSAN,DALY,South San Francisco,Daly City
0,44,SSAN,OAKL,South San Francisco,Oakland City Center/12th St
0,45,SSAN,WARM,South San Francisco,Warm Springs/South Fremont
0,46,SSAN,MLPT,South San Francisco,Milpitas
0,47,SSAN,BERY,South San Francisco,Berryessa/North San Jose
0,48,SSAN,PCTR,South San Francisco,Pittsburg Center
0,49,SSAN,ANTC,South San Francisco,Antioch
1,0,SBRN,SSAN,San Bruno,South San Francisco
1,1,SBRN,SBRN,San Bruno,San Bruno
1,2,SBRN,SFIA,San Bruno,San Francisco International Airport
1,3,SBRN,MLBR,San Bruno,Millbrae
1,4,SBRN,WDUB,San Bruno,West Dublin/Pleasanton
1,5,SBRN,RICH,San Bruno,Richmond
1,6,SBRN,DELN,San Bruno,Del Norte
1,7,SBRN,PLZA,San Bruno,El Cerrito Plaza
1,8,SBRN,NBRK,San Bruno,North Berkeley
1,9,SBRN,DBRK,San Bruno,Downtown Berkeley
1,10,SBRN,ASHB,San Bruno,Ashby
1,11,SBRN,MCAR,San Bruno,MacArthur
1,12,SBRN,19TH,San Bruno,19th Street Oakland
1,13,SBRN,12TH,San Bruno,12th Street Oakland
1,14,SBRN,LAKE,San Bruno,Lake Merritt
